year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e,log_total_emissions_MtCO2e,country
1962,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,0.9125,Million bbl/yr,0.3638848308984855,0.3103371210312925,UAE
1962,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1.84325,Bcf/yr,0.1343552120344684,0.12606439438237457,UAE
1963,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1.825,Million bbl/yr,0.727769661796971,0.5468313639257557,UAE
1963,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,4.4238,Bcf/yr,0.3224525088827243,0.2794879739979532,UAE
1964,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,7.300000000000002,Million bbl/yr,2.911078647187884,1.3638132047984672,UAE
1964,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,17.326549999999997,Bcf/yr,1.2629389931240036,0.8166644078805937,UAE
1965,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,10.95,Million bbl/yr,4.366617970781825,1.680197909513779,UAE
1965,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,25.0682,Bcf/yr,1.827230883668772,1.0392977462887598,UAE
1966,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,13.505,Million bbl/yr,5.385495497297585,1.854029089809085,UAE
1966,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896,1.1557970983502892,UAE
1967,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,14.6,Million bbl/yr,5.822157294375768,1.9201757406605455,UAE
1967,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896,1.1557970983502892,UAE
1968,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,18.25,Million bbl/yr,7.277696617969709,2.1135647434606577,UAE
1968,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,39.0769,Bcf/yr,2.848330495130732,1.3476394166233259,UAE
1969,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,22.265,Million bbl/yr,8.878789873923047,2.2903900218617426,UAE
1969,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,47.1872,Bcf/yr,3.4394934280823937,1.490540277160822,UAE
1970,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,25.7325,Million bbl/yr,10.261552231337292,2.421394466792965,UAE
1970,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,53.8229,Bcf/yr,3.923172191406481,1.593953077090341,UAE
1971,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,34.309999999999995,Million bbl/yr,13.682069641783054,2.686626997021779,UAE
1971,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,72.9927,Bcf/yr,5.320466396564951,1.843793002360741,UAE
1972,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,37.96,Million bbl/yr,15.137608965376996,2.781152508458376,UAE
1972,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,79.6284,Bcf/yr,5.804145159889039,1.9175320087988423,UAE
1973,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,117.7125,Million bbl/yr,46.94114318590463,3.869974074902662,UAE
1973,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.0939551954199365,2.091117510908323,UAE
1974,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,302.1105,Million bbl/yr,120.47498981387058,4.799708396438253,UAE
1974,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.0939551954199365,2.091117510908323,UAE
1975,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,300.6213,Million bbl/yr,119.88112976984426,4.794807664130639,UAE
1975,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,85.89545,Bcf/yr,6.260952880806233,1.9825110710238287,UAE
1976,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,347.3997,Million bbl/yr,138.53532174102418,4.938317771655709,UAE
1976,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.76597999999998,Bcf/yr,7.126200446308207,2.095093464540186,UAE
1977,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,361.7223,Million bbl/yr,144.2468580468068,4.978434764150775,UAE
1977,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,145.124,Bcf/yr,10.578145010872213,2.4491192702693634,UAE
1978,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,316.7397,Million bbl/yr,126.3087914228351,4.8466155638452015,UAE
1978,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,190.968,Bcf/yr,13.91973206662058,2.7026846366130663,UAE
1979,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,322.9155,Million bbl/yr,128.77156395835604,4.865775704447774,UAE
1979,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,202.0494,Bcf/yr,14.72745963837631,2.7554082061498253,UAE
1980,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,294.18269999999995,Million bbl/yr,117.31355840302452,4.773338374755409,UAE
1980,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,254.2225,Bcf/yr,18.530377263763825,2.971971061843019,UAE
1981,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,248.127,Million bbl/yr,98.94756321791617,4.604645680638368,UAE
1981,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,312.732,Bcf/yr,22.79515755864012,3.169482096053153,UAE
1982,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,199.728,Million bbl/yr,79.6471117870605,4.390082992238216,UAE
1982,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,329.29935,Bcf/yr,24.002758167401407,3.2189861454787145,UAE
1983,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,185.712,Million bbl/yr,74.05784078445976,4.318259026765795,UAE
1983,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,310.9508,Bcf/yr,22.6653251953276,3.1640109048791607,UAE
1984,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,179.58,Million bbl/yr,71.61253472082194,4.285137561484444,UAE
1984,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,355.2764,Bcf/yr,25.896235482350548,3.2919863319205613,UAE
1985,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,173.886,Million bbl/yr,69.34189337601539,4.25336754417028,UAE
1985,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,385.586,Bcf/yr,28.10551405806189,3.370927642758478,UAE
1986,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,284.643,Million bbl/yr,113.50933690020555,4.740656364649644,UAE
1986,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,397.3098,Bcf/yr,28.960066416586063,3.399865375488553,UAE
1987,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,395.4,Million bbl/yr,157.67678042439582,5.0668693057024266,UAE
1987,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,408.6978,Bcf/yr,29.79014218202674,3.4271945797246017,UAE
1988,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,378.6,Million bbl/yr,150.97731175689492,5.023731244947913,UAE
1988,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,419.75,Bcf/yr,30.595741354383915,3.4530223442446104,UAE
1989,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,536.6,Million bbl/yr,213.9842194631532,5.37056462758811,UAE
1989,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,461.506,Bcf/yr,33.639352494333075,3.5449903910926546,UAE
1990,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,595.7,Million bbl/yr,237.55199316846884,5.474587287276063,UAE
1990,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,487.8882,Bcf/yr,35.562361350937294,3.5990193328737683,UAE
1991,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,722.7,Million bbl/yr,288.19678607160046,5.667107377054118,UAE
1991,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,554.65254,Bcf/yr,40.428840155788166,3.7239772604231938,UAE
1992,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,672.3,Million bbl/yr,268.09838006909786,5.595077037904625,UAE
1992,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,586.6791,Bcf/yr,42.76326861613516,3.7787948494772534,UAE
1993,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,654.1,Million bbl/yr,260.8406223459719,5.567736007007897,UAE
1993,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,599.17451,Bcf/yr,43.67406392876645,3.79939310791644,UAE
1994,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,678.2,Million bbl/yr,270.4511696606607,5.603782269278116,UAE
1994,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,696.5514,Bcf/yr,50.77190345308877,3.9468475977304416,UAE
1995,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,683.6,Million bbl/yr,272.604570303786,5.611683889935583,UAE
1995,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,621.3687,Bcf/yr,45.29180710163139,3.834964992985691,UAE
1996,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.8,Million bbl/yr,268.6965469144104,5.597297426631797,UAE
1996,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,666.9343695,Bcf/yr,48.613106538585136,3.9042550435539316,UAE
1997,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,708.1,Million bbl/yr,282.3746287772248,5.6467697988214525,UAE
1997,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,712.6814205,Bcf/yr,51.94762694387831,3.969303254119185,UAE
1998,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,748.3,Million bbl/yr,298.40550023160193,5.70179884266382,UAE
1998,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,861.67363975,Bcf/yr,62.80772796588823,4.15587431100732,UAE
1999,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.4,Million bbl/yr,268.53703575566044,5.596705804861458,UAE
1999,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1023.4287,Bcf/yr,74.59811745051427,4.325431381427217,UAE
2000,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,695.4,Million bbl/yr,277.31014948691154,5.628736137456898,UAE
2000,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1031.83367,Bcf/yr,75.21075899479385,4.333502646883043,UAE
2001,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,669.8,Million bbl/yr,267.1014353269102,5.591365398927359,UAE
2001,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1081.027465,Bcf/yr,78.79651391572439,4.379479818234922,UAE
2002,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,616.9,Million bbl/yr,246.00608458222,5.50941297026068,UAE
2002,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1190.53928,Bcf/yr,86.77887286030838,4.474820843670794,UAE
2003,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,675.3,Million bbl/yr,269.294713759723,5.599512896153401,UAE
2003,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1228.856055,Bcf/yr,89.57179754746531,4.506142879241528,UAE
2004,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,713.6,Million bbl/yr,284.5679072100375,5.654479854438726,UAE
2004,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1269.6448799999998,Bcf/yr,92.5449109241163,4.53844165171197,UAE
2005,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,839.5,Million bbl/yr,334.7740444266066,5.816438446916937,UAE
2005,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1279.53308,Bcf/yr,93.26566568209223,4.546117026649686,UAE
2006,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,894.3,Million bbl/yr,356.6270731753595,5.879490748418441,UAE
2006,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1341.33433,Bcf/yr,97.77038291944214,4.592797791792567,UAE
2007,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,846.8,Million bbl/yr,337.6851230737945,5.8250708352505365,UAE
2007,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1396.21384,Bcf/yr,101.77057182620884,4.632499045757036,UAE
2008,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,888.8,Million bbl/yr,354.4337947425467,5.873339000514837,UAE
2008,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1382.86477,Bcf/yr,100.79755290294128,4.6229860655459785,UAE
2009,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,779.3,Million bbl/yr,310.76761503472846,5.74225808668393,UAE
2009,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1305.217683,Bcf/yr,95.13782642105123,4.565782853733551,UAE
2010,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,789.1,Million bbl/yr,314.675638424104,5.754715225732152,UAE
2010,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1394.2362,Bcf/yr,101.62642087461366,4.631095412983579,UAE
2011,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,913.191,Million bbl/yr,364.16038642522625,5.900336671931686,UAE
2011,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1618.077754,Bcf/yr,117.94231912487538,4.778638662363753,UAE
2012,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,948.2,Million bbl/yr,378.1212018169249,5.937855947671519,UAE
2012,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1959.136813,Bcf/yr,142.80224707182848,4.968439071533622,UAE
2013,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,996.928,Million bbl/yr,397.5528511758524,5.987840114720762,UAE
2013,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1934.149146,Bcf/yr,140.98088626996673,4.9556924448087365,UAE
2014,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1002.179,Million bbl/yr,399.64683391234325,5.993080325815078,UAE
2014,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1964.320589,Bcf/yr,143.18009452801684,4.971063174601248,UAE
2015,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1068.575,Million bbl/yr,426.12409115325926,6.057074582609392,UAE
2015,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1918.427996,Bcf/yr,139.8349655095296,4.947588747478741,UAE
2016,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1095.0,Million bbl/yr,436.6617970781826,6.081446459323397,UAE
2016,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1965.869177,Bcf/yr,143.29297171184652,4.971845758508036,UAE
2017,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1186.25,Million bbl/yr,473.0502801680311,6.161313392373247,UAE
2017,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2129.691609,Bcf/yr,155.2340527303531,5.051355220882037,UAE
2018,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966,6.235270675968631,UAE
2018,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2510.134941,Bcf/yr,182.9647157103936,5.214743976776704,UAE
2019,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1350.5,Million bbl/yr,538.5495497297585,6.290734624280173,UAE
2019,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2612.589429,Bcf/yr,190.43266333503647,5.254536119291975,UAE
2020,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966,6.235270675968631,UAE
2020,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.0336239806282,5.283374394278508,UAE
2021,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966,6.235270675968631,UAE
2021,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.0336239806282,5.283374394278508,UAE
2022,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966,6.235270675968631,UAE
2022,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.0336239806282,5.283374394278508,UAE
2012,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.0,Million tonnes/yr,8.07636177449011,2.2056734266884233,India
2013,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.09,Million tonnes/yr,8.258079914416136,2.2254966745027094,India
2014,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,7.92,Million tonnes/yr,15.991196313490418,2.83269534600606,India
2015,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,10.36,Million tonnes/yr,20.917776995929383,3.087298042517745,India
2016,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.45,Million tonnes/yr,23.11858557947794,3.1829827291560333,India
2017,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.15,Million tonnes/yr,22.51285844639118,3.1575474394398637,India
2018,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,16.9,Million tonnes/yr,34.12262849722071,3.558845609281235,India
2019,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,13.261,Million tonnes/yr,26.77515837287833,3.3241420375032567,India
2020,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,15.72,Million tonnes/yr,31.740101773746133,3.488600680482633,India
2021,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,26.78,Million tonnes/yr,54.071242080211285,4.008627657590791,India
2022,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,34.9,Million tonnes/yr,70.4662564824262,4.2692254009937765,India
1992,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.0,Million tonnes/yr,2.0190904436225274,1.1049556084152592,Indonesia
1993,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.4,Million tonnes/yr,2.8267266210715385,1.3420097696279818,Indonesia
1994,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,2.4,Million tonnes/yr,4.8458170646940655,1.7657263738104645,Indonesia
1995,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,5.5,Million tonnes/yr,11.1049974399239,2.4936183789008544,Indonesia
1996,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,8.6,Million tonnes/yr,17.364177815153734,2.91040190915178,Indonesia
1997,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,9.4,Million tonnes/yr,18.97945017005176,2.994704253825324,Indonesia
1998,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,10.9,Million tonnes/yr,22.008085835485552,3.1358457122116823,Indonesia
1999,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,13.6,Million tonnes/yr,27.459630033266368,3.3484865930433525,Indonesia
2000,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,15.5,Million tonnes/yr,31.295901876149173,3.47494034527965,Indonesia
2001,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,17.7,Million tonnes/yr,35.737900852118734,3.6038089429374645,Indonesia
2002,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,20.8,Million tonnes/yr,41.997081227348566,3.761132234955963,Indonesia
2003,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,22.5,Million tonnes/yr,45.42953498150687,3.8379357865069146,Indonesia
2004,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,24.3,Million tonnes/yr,49.063897780027425,3.9133001451384763,Indonesia
2005,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,26.7,Million tonnes/yr,53.909714844721485,4.005690288138005,Indonesia
2006,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,34.4,Million tonnes/yr,69.45671126061494,4.254998496555742,Indonesia
2007,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,36.1,Million tonnes/yr,72.88916501477325,4.302566200354696,Indonesia
2008,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,38.5,Million tonnes/yr,77.73498207946731,4.366087555766674,Indonesia
2009,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,40.6,Million tonnes/yr,81.97507201107463,4.418540225470376,Indonesia
2010,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,42.2,Million tonnes/yr,85.20561672087067,4.4567353347217145,Indonesia
2011,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.7,Million tonnes/yr,96.31061416079456,4.577908070198161,Indonesia
2012,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.2,Million tonnes/yr,95.30106893898328,4.567479418835759,Indonesia
2013,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.3,Million tonnes/yr,105.59843020145816,4.669068785558194,Indonesia
2014,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,56.2,Million tonnes/yr,113.47288293158606,4.740337964653747,Indonesia
2015,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,51.5,Million tonnes/yr,103.98315784656018,4.653799935830501,Indonesia
2016,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.38,Million tonnes/yr,105.759957436948,4.670582925856476,Indonesia
2016,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.22,Million tonnes/yr,0.6526557566863621,0.5023835434828184,Indonesia
2017,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,50.9,Million tonnes/yr,102.77170358038664,4.6421933283696495,Indonesia
2017,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.9,Million tonnes/yr,2.66995536826239,1.3001795007561245,Indonesia
2018,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,48.23,Million tonnes/yr,97.38073209591448,4.588844972851139,Indonesia
2018,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.77,Million tonnes/yr,17.11738052763777,2.896871727672272,Indonesia
2019,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.8073,Million tonnes/yr,106.62271478350787,4.67863172938433,Indonesia
2019,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.2227,Million tonnes/yr,15.493751002026652,2.8029815820213955,Indonesia
2020,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.6223,Million tonnes/yr,100.19191172057016,4.617018829949514,Indonesia
2020,Adaro Energy,Investor-owned Company,Metallurgical Coal,4.9077,Million tonnes/yr,14.559266623134816,2.74465638545021,Indonesia
2021,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.8542,Million tonnes/yr,100.6601387944462,4.621635277298625,Indonesia
2021,Adaro Energy,Investor-owned Company,Metallurgical Coal,2.8458,Million tonnes/yr,8.44239887444568,2.2452100659305714,Indonesia
2022,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,59.51,Million tonnes/yr,120.1560722999766,4.7970795681688765,Indonesia
2022,Adaro Energy,Investor-owned Company,Metallurgical Coal,3.37,Million tonnes/yr,9.997499545604729,2.3976679329226855,Indonesia
1996,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,8.164746441,Million tonnes/yr,22.160256954928027,3.1424377474156153,USA
1997,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,9.8884151341,Million tonnes/yr,26.838533423190608,3.326421155313939,USA
1998,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.1564002566,Million tonnes/yr,32.99416035511506,3.5261887556033873,USA
1999,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.7914360909,Million tonnes/yr,34.71773589605391,3.5756473692304716,USA
2000,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.4285584713,Million tonnes/yr,33.732835586945995,3.5476855100382823,USA
2001,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,14.2429465693,Million tonnes/yr,38.65733713248555,3.680275978439252,USA
2002,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,16.329492882,Million tonnes/yr,44.32051390985605,3.8137597756775086,USA
2003,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,17.4181257408,Million tonnes/yr,47.27521483717979,3.876918278582869,USA
2004,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,18.485893136473,Million tonnes/yr,50.17328399672982,3.9352175989231934,USA
2005,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,20.7747437221,Million tonnes/yr,56.385542696427976,4.049792402200887,USA
2006,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,21.5004989613,Million tonnes/yr,58.35534331464381,4.083542147578464,USA
2007,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,22.0448153907,Million tonnes/yr,59.83269377830568,4.108127371065841,USA
2008,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.976231521021,Million tonnes/yr,65.07482567353253,4.190787822174841,USA
2009,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.440079838062,Million tonnes/yr,63.6196354668256,4.16851831919854,USA
2010,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,26.18162025414,Million tonnes/yr,71.06055730213588,4.277506839152598,USA
2011,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,27.898938588897,Million tonnes/yr,75.72159801498907,4.340183259542162,USA
2012,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.5703529052,Million tonnes/yr,85.68632689238837,4.462296165379456,USA
2013,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,35.182799608318,Million tonnes/yr,95.49100946955764,4.569449837886134,USA
2014,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.96725030270101,Million tonnes/yr,100.3342567395958,4.618424525258393,USA
2015,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,37.356436549722,Million tonnes/yr,101.39056232111405,4.628794543525098,USA
2016,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.973147062956,Million tonnes/yr,86.77956623549814,4.474828742752073,USA
2017,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,34.118660988841,Million tonnes/yr,92.60278931309871,4.539060183393143,USA
2018,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.529075577034,Million tonnes/yr,99.14498961634798,4.606619032067015,USA
2019,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.105,Million bbl/yr,0.4406495760469331,0.36509410635241935,USA
2019,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.664,Bcf/yr,0.2670703902857955,0.23670745645387453,USA
2019,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.270525273069005,Million tonnes/yr,98.44324814610864,4.59958711105061,USA
2020,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.285,Million bbl/yr,0.5124295974844425,0.4137173627217847,USA
2020,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.635,Bcf/yr,0.264956568965302,0.23503778875634493,USA
2020,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,24.48516738251,Million tonnes/yr,66.45614835705638,4.2114777327923685,USA
2021,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.182,Million bbl/yr,0.4713554741063121,0.38618406715446774,USA
2021,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.49,Bcf/yr,0.2543874623628347,0.22664737563646953,USA
2021,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,29.217998736143,Million tonnes/yr,79.30171063859635,4.385790923821653,USA
2022,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.513,Million bbl/yr,0.6033509579719546,0.47209578788724355,USA
2022,Alliance Resource Partners,Investor-owned Company,Natural Gas,4.838,Bcf/yr,0.3526437085706001,0.30206098012026195,USA
2022,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,32.184523276373,Million tonnes/yr,87.35327066555351,4.481343217498201,USA
